,iso2_code,language,year_quarter,unique_id,num_pushers,year,quarter,gpt_available,population,num_pushers_pc,post1,post2,gpt_available_post1,gpt_available_post2,Treatment
0,AE,JavaScript,2020-Q1,AE-JavaScript,1734.0,2020,1,1,9446000,18.356976497988565,0,0,0,0,0
1,AE,JavaScript,2020-Q2,AE-JavaScript,2299.0,2020,2,1,9446000,24.338344272708024,0,0,0,0,0
2,AE,JavaScript,2020-Q3,AE-JavaScript,2366.0,2020,3,1,9446000,25.047639212365024,0,0,0,0,0
3,AE,JavaScript,2020-Q4,AE-JavaScript,2468.0,2020,4,1,9446000,26.127461359305524,0,0,0,0,0
4,AE,JavaScript,2021-Q1,AE-JavaScript,2544.0,2021,5,1,9446000,26.932034723692567,0,0,0,0,0
5,AE,JavaScript,2021-Q2,AE-JavaScript,2798.0,2021,6,1,9446000,29.62100359940716,0,0,0,0,0
6,AE,JavaScript,2021-Q3,AE-JavaScript,2817.0,2021,7,1,9446000,29.82214694050392,0,0,0,0,0
7,AE,JavaScript,2021-Q4,AE-JavaScript,2918.0,2021,8,1,9446000,30.89138259580775,0,0,0,0,0
8,AE,JavaScript,2022-Q1,AE-JavaScript,3541.0,2022,9,1,9446000,37.48676688545416,0,0,0,0,0
9,AE,JavaScript,2022-Q2,AE-JavaScript,3882.0,2022,10,1,9446000,41.09676053355918,0,0,0,0,0
10,AE,JavaScript,2022-Q3,AE-JavaScript,3826.0,2022,11,1,9446000,40.50391700190557,0,0,0,0,0
11,AE,JavaScript,2022-Q4,AE-JavaScript,4347.0,2022,12,1,9446000,46.01947914461147,1,0,1,0,1
12,AE,JavaScript,2023-Q1,AE-JavaScript,4593.0,2023,13,1,9446000,48.62375608723269,1,1,1,1,1
13,AE,JavaScript,2023-Q2,AE-JavaScript,4920.0,2023,14,1,9446000,52.0855388524243,1,1,1,1,1
14,AE,JavaScript,2023-Q3,AE-JavaScript,4743.0,2023,15,1,9446000,50.21172983273343,1,1,1,1,1
15,AE,JavaScript,2023-Q4,AE-JavaScript,5150.0,2023,16,1,9446000,54.52043192885878,1,1,1,1,1
23,AE,Python,2020-Q1,AE-Python,816.0,2020,1,1,9446000,8.638577175524032,0,0,0,0,0
24,AE,Python,2020-Q2,AE-Python,1282.0,2020,2,1,9446000,13.571882278213,0,0,0,0,0
25,AE,Python,2020-Q3,AE-Python,1344.0,2020,3,1,9446000,14.228244759686639,0,0,0,0,0
26,AE,Python,2020-Q4,AE-Python,1364.0,2020,4,1,9446000,14.439974592420072,0,0,0,0,0
27,AE,Python,2021-Q1,AE-Python,1461.0,2021,5,1,9446000,15.466864281177218,0,0,0,0,0
28,AE,Python,2021-Q2,AE-Python,1679.0,2021,6,1,9446000,17.774719457971628,0,0,0,0,0
29,AE,Python,2021-Q3,AE-Python,1634.0,2021,7,1,9446000,17.298327334321407,0,0,0,0,0
30,AE,Python,2021-Q4,AE-Python,1721.0,2021,8,1,9446000,18.219352106711835,0,0,0,0,0
31,AE,Python,2022-Q1,AE-Python,1817.0,2022,9,1,9446000,19.23565530383231,0,0,0,0,0
32,AE,Python,2022-Q2,AE-Python,1981.0,2022,10,1,9446000,20.971839932246453,0,0,0,0,0
33,AE,Python,2022-Q3,AE-Python,2016.0,2022,11,1,9446000,21.34236713952996,0,0,0,0,0
34,AE,Python,2022-Q4,AE-Python,2359.0,2022,12,1,9446000,24.97353377090832,1,0,1,0,1
35,AE,Python,2023-Q1,AE-Python,2576.0,2023,13,1,9446000,27.27080245606606,1,1,1,1,1
36,AE,Python,2023-Q2,AE-Python,2831.0,2023,14,1,9446000,29.970357823417316,1,1,1,1,1
37,AE,Python,2023-Q3,AE-Python,2865.0,2023,15,1,9446000,30.330298539064156,1,1,1,1,1
38,AE,Python,2023-Q4,AE-Python,3317.0,2023,16,1,9446000,35.11539275883972,1,1,1,1,1
46,AE,Java,2020-Q1,AE-Java,685.0,2020,1,1,9446000,7.251746771120051,0,0,0,0,0
47,AE,Java,2020-Q2,AE-Java,809.0,2020,2,1,9446000,8.56447173406733,0,0,0,0,0
48,AE,Java,2020-Q3,AE-Java,685.0,2020,3,1,9446000,7.251746771120051,0,0,0,0,0
